Model,Method,Replicate,RF,FN,FP
1000M1,FastTree (GTR),R7,241.0,0.11895161290322581,0.12337011033099297
1000M1,FastTree (JC),R7,245.0,0.12096774193548387,0.12537612838515547
1000M1,FastTree (JC),R7,245.0,0.12096774193548387,0.12537612838515547
1000M1,NJ (JC),R7,415.0,0.20665322580645162,0.21063189568706117
1000M1,NJ (JC),R7,415.0,0.20665322580645162,0.21063189568706117
1000M1,NJ (LogDet),R7,503.0,0.25100806451612906,0.2547642928786359
1000M1,NJ (LogDet),R7,503.0,0.25100806451612906,0.2547642928786359
1000M1,NJ (p-distance),R7,445.0,0.2217741935483871,0.22567703109327983
1000M1,NJ (p-distance),R7,445.0,0.2217741935483871,0.22567703109327983
1000M1,FastME (BME),R7,453.0,0.22580645161290322,0.2296890672016048
1000M1,FastME (BME),R7,453.0,0.22580645161290322,0.2296890672016048
1000M1,FastTree (GTR),R0,177.0,0.08835341365461848,0.08926780341023069
1000M1,FastTree (GTR),R0,177.0,0.08835341365461848,0.08926780341023069
1000M1,FastTree (JC),R0,203.0,0.10140562248995984,0.10230692076228685
1000M1,FastTree (JC),R0,203.0,0.10140562248995984,0.10230692076228685
1000M1,NJ (JC),R0,405.0,0.20281124497991967,0.20361083249749248
1000M1,NJ (JC),R0,405.0,0.20281124497991967,0.20361083249749248
1000M1,NJ (LogDet),R0,439.0,0.21987951807228914,0.22066198595787362
1000M1,NJ (LogDet),R0,439.0,0.21987951807228914,0.22066198595787362
1000M1,NJ (p-distance),R0,433.0,0.21686746987951808,0.2176529588766299
1000M1,NJ (p-distance),R0,433.0,0.21686746987951808,0.2176529588766299
1000M1,FastME (BME),R0,409.0,0.20481927710843373,0.20561685055165496
1000M1,FastME (BME),R0,409.0,0.20481927710843373,0.20561685055165496
1000M1,FastTree (GTR),R9,225.0,0.11167002012072434,0.11434302908726178
1000M1,FastTree (GTR),R9,225.0,0.11167002012072434,0.11434302908726178
1000M1,FastTree (JC),R9,253.0,0.12575452716297786,0.1283851554663992
1000M1,FastTree (JC),R9,253.0,0.12575452716297786,0.1283851554663992
1000M1,NJ (JC),R9,391.0,0.19517102615694165,0.19759277833500502
1000M1,NJ (JC),R9,391.0,0.19517102615694165,0.19759277833500502
1000M1,NJ (LogDet),R9,473.0,0.23641851106639838,0.238716148445336
1000M1,NJ (LogDet),R9,473.0,0.23641851106639838,0.238716148445336
1000M1,NJ (p-distance),R9,411.0,0.2052313883299799,0.20762286860581744
1000M1,NJ (p-distance),R9,411.0,0.2052313883299799,0.20762286860581744
1000M1,FastME (BME),R9,439.0,0.2193158953722334,0.22166499498495487
1000M1,FastME (BME),R9,439.0,0.2193158953722334,0.22166499498495487
1000M1,FastTree (GTR),R8,223.0,0.10987903225806452,0.11434302908726178
1000M1,FastTree (GTR),R8,223.0,0.10987903225806452,0.11434302908726178
1000M1,FastTree (JC),R8,265.0,0.1310483870967742,0.1354062186559679
1000M1,FastTree (JC),R8,265.0,0.1310483870967742,0.1354062186559679
1000M1,NJ (JC),R8,427.0,0.2127016129032258,0.21664994984954863
1000M1,NJ (JC),R8,427.0,0.2127016129032258,0.21664994984954863
1000M1,NJ (LogDet),R8,469.0,0.23387096774193547,0.23771313941825475
1000M1,NJ (LogDet),R8,469.0,0.23387096774193547,0.23771313941825475
1000M1,NJ (p-distance),R8,481.0,0.2399193548387097,0.24373119358074222
1000M1,NJ (p-distance),R8,481.0,0.2399193548387097,0.24373119358074222
1000M1,FastME (BME),R8,445.0,0.2217741935483871,0.22567703109327983
1000M1,FastME (BME),R8,445.0,0.2217741935483871,0.22567703109327983
1000M1,FastTree (GTR),R1,218.0,0.10696266397578204,0.1123370110330993
1000M1,FastTree (GTR),R1,218.0,0.10696266397578204,0.1123370110330993
1000M1,FastTree (JC),R1,232.0,0.11402623612512613,0.119358074222668
1000M1,FastTree (JC),R1,232.0,0.11402623612512613,0.119358074222668
1000M1,NJ (JC),R1,412.0,0.20484359233097882,0.20962888665997995
1000M1,NJ (JC),R1,412.0,0.20484359233097882,0.20962888665997995
1000M1,NJ (LogDet),R1,484.0,0.24117053481331988,0.24573721163490472
1000M1,NJ (LogDet),R1,484.0,0.24117053481331988,0.24573721163490472
1000M1,NJ (p-distance),R1,454.0,0.2260343087790111,0.23069207622868607
1000M1,NJ (p-distance),R1,454.0,0.2260343087790111,0.23069207622868607
1000M1,FastME (BME),R1,440.0,0.218970736629667,0.22367101303911735
1000M1,FastME (BME),R1,440.0,0.218970736629667,0.22367101303911735
1000M1,FastTree (GTR),R6,194.0,0.09566968781470292,0.09929789368104312
1000M1,FastTree (GTR),R6,194.0,0.09566968781470292,0.09929789368104312
1000M1,FastTree (JC),R6,242.0,0.11983887210473314,0.12337011033099297
1000M1,FastTree (JC),R6,242.0,0.11983887210473314,0.12337011033099297
1000M1,NJ (JC),R6,418.0,0.2084592145015106,0.21163490471414242
1000M1,NJ (JC),R6,418.0,0.2084592145015106,0.21163490471414242
1000M1,NJ (LogDet),R6,500.0,0.2497482376636455,0.25275827482447344
1000M1,NJ (LogDet),R6,500.0,0.2497482376636455,0.25275827482447344
1000M1,NJ (p-distance),R6,436.0,0.2175226586102719,0.22066198595787362
1000M1,NJ (p-distance),R6,436.0,0.2175226586102719,0.22066198595787362
1000M1,FastME (BME),R6,402.0,0.20040281973816718,0.20361083249749248
1000M1,FastME (BME),R6,402.0,0.20040281973816718,0.20361083249749248
1000M1,FastTree (GTR),R10,193.0,0.09475806451612903,0.09929789368104312
1000M1,FastTree (GTR),R10,193.0,0.09475806451612903,0.09929789368104312
1000M1,FastTree (JC),R10,229.0,0.11290322580645161,0.11735205616850551
1000M1,FastTree (JC),R10,229.0,0.11290322580645161,0.11735205616850551
1000M1,NJ (JC),R10,409.0,0.20362903225806453,0.20762286860581744
1000M1,NJ (JC),R10,409.0,0.20362903225806453,0.20762286860581744
1000M1,NJ (LogDet),R10,531.0,0.2651209677419355,0.2688064192577733
1000M1,NJ (LogDet),R10,531.0,0.2651209677419355,0.2688064192577733
1000M1,NJ (p-distance),R10,465.0,0.2318548387096774,0.23570712136409228
1000M1,NJ (p-distance),R10,465.0,0.2318548387096774,0.23570712136409228
1000M1,FastME (BME),R10,427.0,0.2127016129032258,0.21664994984954863
1000M1,FastME (BME),R10,427.0,0.2127016129032258,0.21664994984954863
1000M1,FastTree (GTR),R17,188.0,0.09346733668341708,0.09528585757271815
1000M1,FastTree (GTR),R17,188.0,0.09346733668341708,0.09528585757271815
1000M1,FastTree (JC),R17,192.0,0.09547738693467336,0.09729187562688064
1000M1,FastTree (JC),R17,192.0,0.09547738693467336,0.09729187562688064
1000M1,NJ (JC),R17,376.0,0.1879396984924623,0.18956870611835505
1000M1,NJ (JC),R17,376.0,0.1879396984924623,0.18956870611835505
1000M1,NJ (LogDet),R17,448.0,0.2241206030150754,0.22567703109327983
1000M1,NJ (LogDet),R17,448.0,0.2241206030150754,0.22567703109327983
1000M1,NJ (p-distance),R17,430.0,0.2150753768844221,0.21664994984954863
1000M1,NJ (p-distance),R17,430.0,0.2150753768844221,0.21664994984954863
1000M1,FastME (BME),R17,406.0,0.20301507537688443,0.2046138415245737
1000M1,FastME (BME),R17,406.0,0.20301507537688443,0.2046138415245737
1000M1,FastTree (GTR),R19,236.0,0.11681772406847936,0.12036108324974924
1000M1,FastTree (GTR),R19,236.0,0.11681772406847936,0.12036108324974924
1000M1,FastTree (JC),R19,284.0,0.14098690835850958,0.1444332998996991
1000M1,FastTree (JC),R19,284.0,0.14098690835850958,0.1444332998996991
1000M1,NJ (JC),R19,454.0,0.22658610271903323,0.2296890672016048
1000M1,NJ (JC),R19,454.0,0.22658610271903323,0.2296890672016048
1000M1,NJ (LogDet),R19,532.0,0.26586102719033233,0.2688064192577733
1000M1,NJ (LogDet),R19,532.0,0.26586102719033233,0.2688064192577733
1000M1,NJ (p-distance),R19,510.0,0.25478348439073517,0.2577733199598796
1000M1,NJ (p-distance),R19,510.0,0.25478348439073517,0.2577733199598796
1000M1,FastME (BME),R19,456.0,0.22759315206445116,0.23069207622868607
1000M1,FastME (BME),R19,456.0,0.22759315206445116,0.23069207622868607
1000M1,FastTree (GTR),R18,221.0,0.10887096774193548,0.11334002006018054
1000M1,FastTree (GTR),R18,221.0,0.10887096774193548,0.11334002006018054
1000M1,FastTree (JC),R18,243.0,0.11995967741935484,0.12437311935807423
1000M1,FastTree (JC),R18,243.0,0.11995967741935484,0.12437311935807423
1000M1,NJ (JC),R18,361.0,0.17943548387096775,0.18355065195586762
1000M1,NJ (JC),R18,361.0,0.17943548387096775,0.18355065195586762
1000M1,NJ (LogDet),R18,465.0,0.2318548387096774,0.23570712136409228
1000M1,NJ (LogDet),R18,465.0,0.2318548387096774,0.23570712136409228
